	IDresults120110_UNC13-SN749_0141_AD0J7WACXX_ATCACG_L005_-sam-report.tsv	IDresults120110_UNC13-SN749_0141_AD0J7WACXX_GATCAG_L004_-sam-report.tsv	IDresults120110_UNC13-SN749_0141_AD0J7WACXX_GGCTAC_L002_-sam-report.tsv	IDresults120110_UNC13-SN749_0141_AD0J7WACXX_TTAGGC_L007_.Y.Y-sam-report.tsv	IDresults120110_UNC13-SN749_0141_AD0J7WACXX_TTAGGC_L008_-sam-report.tsv	IDresults120110_UNC13-SN749_0142_BD0HK1ACXX_CGATGT_L005_.Y.Y-sam-report.tsv	IDresults120110_UNC13-SN749_0142_BD0HK1ACXX_CTTGTA_L006_.Y.Y-sam-report.tsv	IDresults120118_UNC12-SN629_0180_BC0BWMACXX_ACTTGA_L006_-sam-report.tsv	IDresults120118_UNC12-SN629_0180_BC0BWMACXX_TAGCTT_L007_.Y.Y-sam-report.tsv	IDresults120207_UNC10-SN254_0325_AC0C6MACXX_ATCACG_L005_.Y.Y-sam-report.tsv	IDresults120207_UNC9-SN296_0271_BC0CB8ACXX_ACAGTG_L002_.Y-sam-report.tsv	IDresults120717_UNC14-SN744_0245_AC0WYWACXX_ATCACG_L005_.Y-sam-report.tsv	IDresults120717_UNC14-SN744_0245_AC0WYWACXX_CTTGTA_L005_-sam-report.tsv	IDresults120723_UNC10-SN254_0372_AC0T70ACXX_TTAGGC_L001_-sam-report.tsv	IDresults120723_UNC10-SN254_0372_AC0T70ACXX_TTAGGC_L004_.Y-sam-report.tsv	IDresults120723_UNC10-SN254_0372_AC0T70ACXX_TTAGGC_L006_.Y-sam-report.tsv	IDresults130328_UNC10-SN254_0443_AD238RACXX_CTTGTA_L002_-sam-report.tsv	IDresults130513_UNC14-SN744_0340_BD250CACXX_GTGGCC_L008_.Y-sam-report.tsv	IDresults130814_UNC10-SN254_0487_AC2BD1ACXX_CAGATC_L006_.Y-sam-report.tsv
Patients	83b41d35-69b1-4218-be1a-8821d8a6899c	419deaac-ea45-4bdd-9fa0-b5cd8429b44f	ebedab7c-dd7c-448e-8324-78c86f13be8b	4dc5cffe-ed8c-47ab-b5fc-f9615b5414f7	556fcbc8-172a-4af1-8822-ae036e8d68e8	679a6869-2ce9-4472-8db1-8869e2c1a440	811b3950-36e7-485f-bc48-aca1eee2ddef	797a71ee-372d-41e5-aeee-5ab3c4661110	d17a5ab1-3789-4652-aff5-d8f4f2291f9c	f8780a4b-7f55-41d1-bf92-8513955d150e	5d54c742-5a8e-4c40-8d62-95e75e210ab8	2e85c30c-c4c4-4096-9eef-4eb2c7d991a3	31da07bb-6752-49a3-a7ea-5427c04a9458	7840aea9-40c4-473e-be33-8fa0b9f332c9	db52c68a-ed44-4ec4-9381-d75f9bcbc29a	d53eade8-a845-4252-aece-92f3573486a7	52fddd92-fa5e-4fac-8e44-e64c98c84f86	32efe5e2-e037-4547-8ead-619f61647639	acf6bdf3-6349-49dc-b99a-4eda648eeac5
ti|175245	6726	6568	44543	9156	5878	27863	19058	31725	15734	10679	9893	11965	18050	22541	15515	11470	3253	52297	607448
ti|4896	741	324	336	305	396	331	474	773	567	963	701	360	386	237	369	382	170	476	9355
ti|5518	331	38	37	47	8	59	27	953	41	97	35	659	746	102	714	102	105	809	876
ti|253309	95	0	636	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	5
ti|221742	111	102	99	137	100	497	397	594	310	196	245	235	205	485	297	173	46	169	284
ti|77020	29	0	0	26	0	0	3	7	0	3	0	0	0	0	4	0	0	96	1
ti|410823	38	4	2043	0	11	39	8	35	49	1	5	3	0	59	22	0	0	232	1923
ti|1294334	115	1	0	2	0	0	1	0	1	0	6	0	3	0	6	2	1	0	1
ti|41956	23	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
